cell_id	0	1	2	3	4	5	6	7	8	9
Lnuclei-pool60-S1-C	3.511119641292738e-106	1.0	1.1729972119729838e-290	1.1729972119729838e-290	1.1729972119729838e-290	1.1729972119729838e-290	1.1729972119729838e-290	1.1729972119729838e-290	1.1729972119729838e-290	1.1729972119729838e-290
Lnuclei-pool60-S1-D	6.675886398737409e-162	1.0	1.304530688427333e-228	1.304530688427333e-228	1.304530688427333e-228	1.304530688427333e-228	1.304530688427333e-228	1.304530688427333e-228	1.304530688427333e-228	1.304530688427333e-228
Lnuclei-pool76-S7-A-TAGCTT	1.9202844370195402e-167	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool76-S7-B-ACTTGA	1.710639230540131e-197	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool76-S7-C-GCCAAT	1.0	3.2864886302606345e-193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool76-S7-H-CAGATC	1.0	1.670453172457888e-103	9.619015976458603e-230	9.619015976458603e-230	9.619015976458603e-230	9.619015976458603e-230	9.619015976458603e-230	9.619015976458603e-230	9.619015976458603e-230	9.619015976458603e-230
Lnuclei-pool76-S7-J-GACGAG	4.1674865068114996e-126	1.0	2.254274514236952e-219	2.254274514236952e-219	2.254274514236952e-219	2.254274514236952e-219	2.254274514236952e-219	2.254274514236952e-219	2.254274514236952e-219	2.254274514236952e-219
Lnuclei-pool76-S7-K-AAGGTC	1.0	7.1324441366646455e-230	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool76-S7-L-TGTAGC	6.234792952674635e-149	1.0	9.75437883651652e-286	9.75437883651652e-286	9.75437883651652e-286	9.75437883651652e-286	9.75437883651652e-286	9.75437883651652e-286	9.75437883651652e-286	9.75437883651652e-286
Lnuclei-pool76-S7-N-CTACTG	4.823839514922217e-215	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool76-S7-O-CATATG	1.0	7.368509023415915e-294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool76-S7-P-GTATAC	5.21790175653265e-138	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool76-S7-Q-ACCTTC	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool77-S8-A-TAGCTT	1.0	1.1307598864370644e-169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool77-S8-B-ACTTGA	1.0	1.3705267674147574e-136	2.46775957154084e-310	2.46775957154084e-310	2.46775957154084e-310	2.46775957154084e-310	2.46775957154084e-310	2.46775957154084e-310	2.46775957154084e-310	2.46775957154084e-310
Lnuclei-pool77-S8-C-GCCAAT	2.1878236959389825e-54	1.0	7.867730096835994e-134	7.867730096835994e-134	7.867730096835994e-134	7.867730096835994e-134	7.867730096835994e-134	7.867730096835994e-134	7.867730096835994e-134	7.867730096835994e-134
Lnuclei-pool77-S8-D-CGATGT	1.2185468153641693e-44	1.0	6.634616023168469e-62	6.634616023168469e-62	6.634616023168469e-62	6.634616023168469e-62	6.634616023168469e-62	6.634616023168469e-62	6.634616023168469e-62	6.634616023168469e-62
Lnuclei-pool77-S8-H-CAGATC	1.0	1.0895057876660234e-283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool77-S8-J-GACGAG	1.0196286711017216e-172	1.0	3.003016403605095e-259	3.003016403605095e-259	3.003016403605095e-259	3.003016403605095e-259	3.003016403605095e-259	3.003016403605095e-259	3.003016403605095e-259	3.003016403605095e-259
Lnuclei-pool77-S8-K-AAGGTC	1.0	5.94949790079674e-263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool77-S8-L-TGTAGC	1.0089872288097568e-125	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool77-S8-M-TTGGCA	1.5645592381541204e-94	1.0	2.7368921972607005e-241	2.7368921972607005e-241	2.7368921972607005e-241	2.7368921972607005e-241	2.7368921972607005e-241	2.7368921972607005e-241	2.7368921972607005e-241	2.7368921972607005e-241
Lnuclei-pool77-S8-P-GTATAC	4.27514941431536e-216	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool77-S8-Q-ACCTTC	1.0	4.805011400460987e-245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool78-S9-A-TAGCTT	1.0	8.882033723736297e-46	7.195320606669398e-177	7.195320606669398e-177	7.195320606669398e-177	7.195320606669398e-177	7.195320606669398e-177	7.195320606669398e-177	7.195320606669398e-177	7.195320606669398e-177
Lnuclei-pool78-S9-B-ACTTGA	1.0	2.8233107401037938e-67	1.2032056489222045e-153	1.2032056489222045e-153	1.2032056489222045e-153	1.2032056489222045e-153	1.2032056489222045e-153	1.2032056489222045e-153	1.2032056489222045e-153	1.2032056489222045e-153
