converged	score	run	cpu_time	memory	nclusters_pred	all_vmeasure	clone_prev_MAE	clone_prev_MSE	slsbulk_clone_prev_MSE	slsbulk_vmeasure	slsbulk_clone_prev_MAE	uncertainty
1	507941.470656797	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/133/cluster_posteriors.tsv.gz	33	282	1	NA	NA	NA	NA	NA	NA	NA
1	502828.814180964	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/134/cluster_posteriors.tsv.gz	100	293	2	NA	NA	NA	NA	NA	NA	1
1	499446.076585276	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/135/cluster_posteriors.tsv.gz	660	297	8	NA	NA	NA	NA	NA	NA	0
1	501729.67552736	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/136/cluster_posteriors.tsv.gz	97	294	2	NA	NA	NA	NA	NA	NA	0
1	507941.470656797	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/137/cluster_posteriors.tsv.gz	33	292	1	NA	NA	NA	NA	NA	NA	NA
1	499739.859738026	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/138/cluster_posteriors.tsv.gz	324	294	5	NA	NA	NA	NA	NA	NA	0
1	498204.027393028	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/139/cluster_posteriors.tsv.gz	638	298	8	NA	NA	NA	NA	NA	NA	0
1	499665.035374798	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/14/cluster_posteriors.tsv.gz	715	301	4	NA	NA	NA	NA	NA	NA	0
1	507941.470656797	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/140/cluster_posteriors.tsv.gz	33	292	1	NA	NA	NA	NA	NA	NA	NA
1	500361.014195214	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/141/cluster_posteriors.tsv.gz	198	294	3	NA	NA	NA	NA	NA	NA	0
1	501344.044174815	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/142/cluster_posteriors.tsv.gz	102	294	2	NA	NA	NA	NA	NA	NA	1
1	498532.742322154	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/143/cluster_posteriors.tsv.gz	201	285	3	NA	NA	NA	NA	NA	NA	NA
1	500085.836079698	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/144/cluster_posteriors.tsv.gz	207	294	3	NA	NA	NA	NA	NA	NA	0
1	499063.580996095	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/145/cluster_posteriors.tsv.gz	579	295	7	NA	NA	NA	NA	NA	NA	0
1	503271.068053109	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/146/cluster_posteriors.tsv.gz	113	294	2	NA	NA	NA	NA	NA	NA	0
1	499739.859738026	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/147/cluster_posteriors.tsv.gz	328	295	5	NA	NA	NA	NA	NA	NA	0
1	500675.78986517	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/148/cluster_posteriors.tsv.gz	154	285	3	NA	NA	NA	NA	NA	NA	0
1	495876.240618434	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/149/cluster_posteriors.tsv.gz	857	299	9	NA	NA	NA	NA	NA	NA	0
1	499364.856653698	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/15/cluster_posteriors.tsv.gz	741	303	5	NA	NA	NA	NA	NA	NA	0
1	507941.470656797	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/150/cluster_posteriors.tsv.gz	35	291	1	NA	NA	NA	NA	NA	NA	NA
1	499758.594488953	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/151/cluster_posteriors.tsv.gz	444	295	6	NA	NA	NA	NA	NA	NA	0
