cell_id	0	1	2	3	4	5	6	7	8	9
Lnuclei-pool57-S1-C	1.0766690492002956e-186	1.0	2.767048793523099e-232	2.767048793523099e-232	2.767048793523099e-232	2.767048793523099e-232	2.767048793523099e-232	2.767048793523099e-232	2.767048793523099e-232	2.767048793523099e-232
Lnuclei-pool57-S1-D	1.0	3.060083145744111e-190	3.973566767792491e-212	3.973566767792491e-212	3.973566767792491e-212	3.973566767792491e-212	3.973566767792491e-212	3.973566767792491e-212	3.973566767792491e-212	3.973566767792491e-212
Lnuclei-pool58-S1-A	7.859888547167446e-250	1.0	3.984234822886178e-267	3.984234822886178e-267	3.984234822886178e-267	3.984234822886178e-267	3.984234822886178e-267	3.984234822886178e-267	3.984234822886178e-267	3.984234822886178e-267
Lnuclei-pool58-S1-B	5.037719340276943e-154	1.0	1.2311548537710139e-188	1.2311548537710139e-188	1.2311548537710139e-188	1.2311548537710139e-188	1.2311548537710139e-188	1.2311548537710139e-188	1.2311548537710139e-188	1.2311548537710139e-188
Lnuclei-pool58-S1-C	7.007550452280174e-245	1.0	7.619100393193041e-264	7.619100393193041e-264	7.619100393193041e-264	7.619100393193041e-264	7.619100393193041e-264	7.619100393193041e-264	7.619100393193041e-264	7.619100393193041e-264
Lnuclei-pool58-S1-D	1.8511941009653877e-165	1.0	2.541815890309985e-188	2.541815890309985e-188	2.541815890309985e-188	2.541815890309985e-188	2.541815890309985e-188	2.541815890309985e-188	2.541815890309985e-188	2.541815890309985e-188
Lnuclei-pool59-S1-A	1.0	4.895768524283214e-260	2.8749774238452653e-288	2.8749774238452653e-288	2.8749774238452653e-288	2.8749774238452653e-288	2.8749774238452653e-288	2.8749774238452653e-288	2.8749774238452653e-288	2.8749774238452653e-288
Lnuclei-pool59-S1-B	1.0	2.153906117231859e-141	2.0329686670412013e-221	2.0329686670412013e-221	2.0329686670412013e-221	2.0329686670412013e-221	2.0329686670412013e-221	2.0329686670412013e-221	2.0329686670412013e-221	2.0329686670412013e-221
Lnuclei-pool59-S1-C	1.3106439221881635e-233	1.0	3.7728397693445605e-302	3.7728397693445605e-302	3.7728397693445605e-302	3.7728397693445605e-302	3.7728397693445605e-302	3.7728397693445605e-302	3.7728397693445605e-302	3.7728397693445605e-302
Lnuclei-pool59-S1-D	1.0	6.409237096118516e-98	5.974164184513187e-179	5.974164184513187e-179	5.974164184513187e-179	5.974164184513187e-179	5.974164184513187e-179	5.974164184513187e-179	5.974164184513187e-179	5.974164184513187e-179
