cell_id	0	1	2	3	4	5	6	7	8	9
K562-pool53-F-ATCACG	1.0	1.5107197293706938e-65	1.0031749693724564e-65	1.0031749693724564e-65	1.0031749693724564e-65	1.0031749693724564e-65	1.0031749693724564e-65	1.0031749693724564e-65	1.0031749693724564e-65	1.0031749693724564e-65
K562-pool53-G-TGACCA	1.0	1.6754025019889035e-44	1.2159414442325172e-44	1.2159414442325172e-44	1.2159414442325172e-44	1.2159414442325172e-44	1.2159414442325172e-44	1.2159414442325172e-44	1.2159414442325172e-44	1.2159414442325172e-44
K562-pool53-H-CAGATC	1.0	2.001021070412676e-65	1.2177724108204484e-65	1.2177724108204484e-65	1.2177724108204484e-65	1.2177724108204484e-65	1.2177724108204484e-65	1.2177724108204484e-65	1.2177724108204484e-65	1.2177724108204484e-65
K562-pool53-I-CTTGTA	1.0	5.206385210418852e-30	5.317930487191904e-30	5.317930487191904e-30	5.317930487191904e-30	5.317930487191904e-30	5.317930487191904e-30	5.317930487191904e-30	5.317930487191904e-30	5.317930487191904e-30
K562-pool53-N-CTACTG	1.0	1.7158600588191182e-79	8.581145545654818e-79	8.581145545654818e-79	8.581145545654818e-79	8.581145545654818e-79	8.581145545654818e-79	8.581145545654818e-79	8.581145545654818e-79	8.581145545654818e-79
K562-pool53-O-CATATG	1.0	1.6533478588303707e-41	2.6607071388573385e-41	2.6607071388573385e-41	2.6607071388573385e-41	2.6607071388573385e-41	2.6607071388573385e-41	2.6607071388573385e-41	2.6607071388573385e-41	2.6607071388573385e-41
K562-pool53-P-GTATAC	1.0	4.620739056505452e-83	1.4358882684666203e-82	1.4358882684666203e-82	1.4358882684666203e-82	1.4358882684666203e-82	1.4358882684666203e-82	1.4358882684666203e-82	1.4358882684666203e-82	1.4358882684666203e-82
K562-pool53-Q-ACCTTC	1.0	1.1422734682124661e-70	1.060652677408146e-70	1.060652677408146e-70	1.060652677408146e-70	1.060652677408146e-70	1.060652677408146e-70	1.060652677408146e-70	1.060652677408146e-70	1.060652677408146e-70
K562-pool54-A-TAGCTT	1.0	3.520486322644718e-25	3.5204475951357006e-25	3.5204475951357006e-25	3.5204475951357006e-25	3.5204475951357006e-25	3.5204475951357006e-25	3.5204475951357006e-25	3.5204475951357006e-25	3.5204475951357006e-25
K562-pool54-B-ACTTGA	1.0	3.517350654128563e-82	5.954662317198274e-82	5.954662317198274e-82	5.954662317198274e-82	5.954662317198274e-82	5.954662317198274e-82	5.954662317198274e-82	5.954662317198274e-82	5.954662317198274e-82
K562-pool54-C-GCCAAT	1.0	3.0911291664476416e-30	2.1642977369901297e-30	2.1642977369901297e-30	2.1642977369901297e-30	2.1642977369901297e-30	2.1642977369901297e-30	2.1642977369901297e-30	2.1642977369901297e-30	2.1642977369901297e-30
K562-pool54-D-CGATGT	1.0	9.885763302070564e-44	1.7178722462974512e-43	1.7178722462974512e-43	1.7178722462974512e-43	1.7178722462974512e-43	1.7178722462974512e-43	1.7178722462974512e-43	1.7178722462974512e-43	1.7178722462974512e-43
K562-pool54-F-ATCACG	1.0	4.7712090138596316e-45	3.8217243528447856e-45	3.8217243528447856e-45	3.8217243528447856e-45	3.8217243528447856e-45	3.8217243528447856e-45	3.8217243528447856e-45	3.8217243528447856e-45	3.8217243528447856e-45
K562-pool54-G-TGACCA	1.0	4.754923661468367e-34	4.754871368541821e-34	4.754871368541821e-34	4.754871368541821e-34	4.754871368541821e-34	4.754871368541821e-34	4.754871368541821e-34	4.754871368541821e-34	4.754871368541821e-34
K562-pool54-H-CAGATC	1.0	3.001336443705034e-19	1.9567506608551686e-19	1.9567506608551686e-19	1.9567506608551686e-19	1.9567506608551686e-19	1.9567506608551686e-19	1.9567506608551686e-19	1.9567506608551686e-19	1.9567506608551686e-19
K562-pool54-I-CTTGTA	1.0	1.1288903482016809e-122	1.0012973597978007e-122	1.0012973597978007e-122	1.0012973597978007e-122	1.0012973597978007e-122	1.0012973597978007e-122	1.0012973597978007e-122	1.0012973597978007e-122	1.0012973597978007e-122
K562-pool54-J-GACGAG	1.0	2.0893036026814904e-28	1.6230731593190584e-28	1.6230731593190584e-28	1.6230731593190584e-28	1.6230731593190584e-28	1.6230731593190584e-28	1.6230731593190584e-28	1.6230731593190584e-28	1.6230731593190584e-28
K562-pool54-K-AAGGTC	1.0	1.4204367503508506e-60	5.395676114397029e-61	5.395676114397029e-61	5.395676114397029e-61	5.395676114397029e-61	5.395676114397029e-61	5.395676114397029e-61	5.395676114397029e-61	5.395676114397029e-61
K562-pool54-L-TGTAGC	1.0	4.0483151819015556e-64	4.074518885980726e-64	4.074518885980726e-64	4.074518885980726e-64	4.074518885980726e-64	4.074518885980726e-64	4.074518885980726e-64	4.074518885980726e-64	4.074518885980726e-64
K562-pool54-M-TTGGCA	1.0	3.740712527318777e-48	4.7965385142402166e-48	4.7965385142402166e-48	4.7965385142402166e-48	4.7965385142402166e-48	4.7965385142402166e-48	4.7965385142402166e-48	4.7965385142402166e-48	4.7965385142402166e-48
K562-pool54-N-CTACTG	1.0	3.2413680023449494e-82	9.562424790748507e-84	9.562424790748507e-84	9.562424790748507e-84	9.562424790748507e-84	9.562424790748507e-84	9.562424790748507e-84	9.562424790748507e-84	9.562424790748507e-84
K562-pool54-O-CATATG	1.0	3.581934863997822e-37	3.823311281413793e-37	3.823311281413793e-37	3.823311281413793e-37	3.823311281413793e-37	3.823311281413793e-37	3.823311281413793e-37	3.823311281413793e-37	3.823311281413793e-37
K562-pool54-P-GTATAC	1.0	5.438075515331018e-56	7.212208037940766e-56	7.212208037940766e-56	7.212208037940766e-56	7.212208037940766e-56	7.212208037940766e-56	7.212208037940766e-56	7.212208037940766e-56	7.212208037940766e-56
K562-pool54-Q-ACCTTC	1.0	8.205993015361333e-55	1.4095588087456928e-54	1.4095588087456928e-54	1.4095588087456928e-54	1.4095588087456928e-54	1.4095588087456928e-54	1.4095588087456928e-54	1.4095588087456928e-54	1.4095588087456928e-54
K562-pool55-A-TAGCTT	1.0	2.1539120624952456e-30	1.3270811452580271e-30	1.3270811452580271e-30	1.3270811452580271e-30	1.3270811452580271e-30	1.3270811452580271e-30	1.3270811452580271e-30	1.3270811452580271e-30	1.3270811452580271e-30
K562-pool55-B-ACTTGA	1.0	1.2488778160446706e-30	1.7935007461601023e-30	1.7935007461601023e-30	1.7935007461601023e-30	1.7935007461601023e-30	1.7935007461601023e-30	1.7935007461601023e-30	1.7935007461601023e-30	1.7935007461601023e-30
K562-pool55-C-GCCAAT	1.0	2.721217242638342e-44	2.7211873123712026e-44	2.7211873123712026e-44	2.7211873123712026e-44	2.7211873123712026e-44	2.7211873123712026e-44	2.7211873123712026e-44	2.7211873123712026e-44	2.7211873123712026e-44
K562-pool55-F-ATCACG	1.0	4.1328241217903556e-45	2.363141879956784e-45	2.363141879956784e-45	2.363141879956784e-45	2.363141879956784e-45	2.363141879956784e-45	2.363141879956784e-45	2.363141879956784e-45	2.363141879956784e-45
